Project,Design smell,Namespace,Class,File,
greenshot,Rebellious Hierarchy,Greenshot.Forms,CaptureForm,DesigniteProjects\greenshot\src\Greenshot\Forms\CaptureForm.cs,
greenshot,Unfactored Hierarchy,Greenshot.Base.Controls,GreenshotCheckBox,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\GreenshotCheckBox.cs,
greenshot,Wide Hierarchy,Greenshot.Base.Controls,IGreenshotLanguageBindable,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\IGreenshotLanguageBindable.cs,
greenshot,Wide Hierarchy,Greenshot.Base.Core,AbstractDestination,DesigniteProjects\greenshot\src\Greenshot.Base\Core\AbstractDestination.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Core,AbstractDestination,DesigniteProjects\greenshot\src\Greenshot.Base\Core\AbstractDestination.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Core,AbstractProcessor,DesigniteProjects\greenshot\src\Greenshot.Base\Core\AbstractProcessor.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Core,CoreConfiguration,DesigniteProjects\greenshot\src\Greenshot.Base\Core\CoreConfiguration.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Core,IFastBitmapWithOffset,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Core,IFastBitmapWithClip,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclic Hierarchy,Greenshot.Base.Core,FastBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclic Hierarchy,Greenshot.Base.Core,FastBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclic Hierarchy,Greenshot.Base.Core,FastBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclic Hierarchy,Greenshot.Base.Core,FastBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Core,FastBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Core,FastChunkyBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Core,Fraction,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Fraction.cs,
greenshot,Unfactored Hierarchy,Greenshot.Base.Effects,AdjustEffect,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\AdjustEffect.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Effects,GrayscaleEffect,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\GrayscaleEffect.cs,
greenshot,Wide Hierarchy,Greenshot.Base.Effects,IEffect,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\IEffect.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Effects,InvertEffect,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\InvertEffect.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Effects,MonochromeEffect,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\MonochromeEffect.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Effects,ResizeCanvasEffect,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\ResizeCanvasEffect.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Effects,ResizeEffect,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\ResizeEffect.cs,
greenshot,Rebellious Hierarchy,Greenshot.Base.Effects,RotateEffect,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\RotateEffect.cs,
greenshot,Rebellious Hierarchy,Greenshot.Plugin.ExternalCommand,ExternalCommandConfiguration,DesigniteProjects\greenshot\src\Greenshot.Plugin.ExternalCommand\ExternalCommandConfiguration.cs,
greenshot,Broken Hierarchy,Greenshot.Plugin.Confluence,ConfluenceConfiguration,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\ConfluenceConfiguration.cs,
greenshot,Cyclic Hierarchy,GreenshotConfluencePlugin.confluence,AbstractRemotePageSummary,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Cyclic Hierarchy,GreenshotConfluencePlugin.confluence,AbstractRemotePageSummary,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Cyclic Hierarchy,GreenshotConfluencePlugin.confluence,RemotePageSummary,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Cyclic Hierarchy,GreenshotConfluencePlugin.confluence,RemoteSpaceSummary,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Broken Hierarchy,Greenshot.Plugin.Jira,JiraConfiguration,DesigniteProjects\greenshot\src\Greenshot.Plugin.Jira\JiraConfiguration.cs,
greenshot,Unfactored Hierarchy,Greenshot.Plugin.Office.Destinations,ExcelDestination,DesigniteProjects\greenshot\src\Greenshot.Plugin.Office\Destinations\ExcelDestination.cs,
greenshot,Unfactored Hierarchy,Greenshot.Plugin.Office.Destinations,ExcelDestination,DesigniteProjects\greenshot\src\Greenshot.Plugin.Office\Destinations\ExcelDestination.cs,
greenshot,Broken Hierarchy,Greenshot.Plugin.Office,OfficeConfiguration,DesigniteProjects\greenshot\src\Greenshot.Plugin.Office\OfficeConfiguration.cs,
greenshot,Rebellious Hierarchy,Greenshot.Plugin.Office,OfficePlugin,DesigniteProjects\greenshot\src\Greenshot.Plugin.Office\OfficePlugin.cs,
greenshot,Broken Hierarchy,Greenshot.Plugin.Win10,Win10Configuration,DesigniteProjects\greenshot\src\Greenshot.Plugin.Win10\Win10Configuration.cs,
greenshot,Rebellious Hierarchy,Greenshot.Plugin.Win10,Win10Plugin,DesigniteProjects\greenshot\src\Greenshot.Plugin.Win10\Win10Plugin.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Controls,BindableToolStripButton,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\BindableToolStripButton.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Controls,ColorButton,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\ColorButton.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Controls,ColorButton,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\ColorButton.cs,
greenshot,Rebellious Hierarchy,Greenshot.Editor.Controls,CustomToolStripProfessionalRenderer,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\CustomToolStripProfessionalRenderer.cs,
greenshot,Rebellious Hierarchy,Greenshot.Editor.Drawing.Adorners,AbstractAdorner,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Adorners\AbstractAdorner.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing.Adorners,AbstractAdorner,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Adorners\AbstractAdorner.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing.Adorners,AbstractAdorner,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Adorners\AbstractAdorner.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing.Adorners,MoveAdorner,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Adorners\MoveAdorner.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing.Adorners,MoveAdorner,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Adorners\MoveAdorner.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing.Adorners,MoveAdorner,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Adorners\MoveAdorner.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing,ArrowContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\ArrowContainer.cs,
greenshot,Wide Hierarchy,Greenshot.Editor.Drawing,DrawableContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainer.cs,
greenshot,Rebellious Hierarchy,Greenshot.Editor.Drawing,DrawableContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainer.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing,EllipseContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\EllipseContainer.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing,HighlightContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\HighlightContainer.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing,LineContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\LineContainer.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing,SpeechbubbleContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\SpeechbubbleContainer.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing,SpeechbubbleContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\SpeechbubbleContainer.cs,
greenshot,Rebellious Hierarchy,Greenshot.Editor.Drawing,Surface,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Surface.cs,
greenshot,Rebellious Hierarchy,Greenshot.Editor.Drawing.Fields,AbstractFieldHolder,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Fields\AbstractFieldHolder.cs,
greenshot,Broken Hierarchy,Greenshot.Editor.Drawing.Fields,AbstractFieldHolderWithChildren,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Fields\AbstractFieldHolderWithChildren.cs,
greenshot,Rebellious Hierarchy,Greenshot.Editor.Drawing.Filters,AbstractFilter,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Filters\AbstractFilter.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Drawing.Filters,BrightnessFilter,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Filters\BrightnessFilter.cs,
greenshot,Rebellious Hierarchy,Greenshot.Editor.FileFormatHandlers,AbstractFileFormatHandler,DesigniteProjects\greenshot\src\Greenshot.Editor\FileFormatHandlers\AbstractFileFormatHandler.cs,
greenshot,Multipath Hierarchy,Greenshot.Editor.FileFormatHandlers,DefaultFileFormatHandler,DesigniteProjects\greenshot\src\Greenshot.Editor\FileFormatHandlers\DefaultFileFormatHandler.cs,
greenshot,Multipath Hierarchy,Greenshot.Editor.FileFormatHandlers,DibFileFormatHandler,DesigniteProjects\greenshot\src\Greenshot.Editor\FileFormatHandlers\DibFileFormatHandler.cs,
greenshot,Multipath Hierarchy,Greenshot.Editor.FileFormatHandlers,GreenshotFileFormatHandler,DesigniteProjects\greenshot\src\Greenshot.Editor\FileFormatHandlers\GreenshotFileFormatHandler.cs,
greenshot,Multipath Hierarchy,Greenshot.Editor.FileFormatHandlers,IconFileFormatHandler,DesigniteProjects\greenshot\src\Greenshot.Editor\FileFormatHandlers\IconFileFormatHandler.cs,
greenshot,Multipath Hierarchy,Greenshot.Editor.FileFormatHandlers,MetaFileFormatHandler,DesigniteProjects\greenshot\src\Greenshot.Editor\FileFormatHandlers\MetaFileFormatHandler.cs,
greenshot,Multipath Hierarchy,Greenshot.Editor.FileFormatHandlers,SvgFileFormatHandler,DesigniteProjects\greenshot\src\Greenshot.Editor\FileFormatHandlers\SvgFileFormatHandler.cs,
greenshot,Multipath Hierarchy,Greenshot.Editor.FileFormatHandlers,WpfFileFormatHandler,DesigniteProjects\greenshot\src\Greenshot.Editor\FileFormatHandlers\WpfFileFormatHandler.cs,
greenshot,Unfactored Hierarchy,Greenshot.Editor.Memento,AddElementsMemento,DesigniteProjects\greenshot\src\Greenshot.Editor\Memento\AddElementsMemento.cs,
